"business_id","name","state","categories","is_open","BusinessAcceptsCreditCards","stars","State1","TotalOpenTime","review_count","Numphotos","AcceptCards"
"2_8_ipfxCRtpXesLdBCqig","Duo Patisserie & Cafe","ON","Coffee & Tea,Bakeries,Food,Desserts","1","1","3","2","36","249","0","1"
"2_8_ipfxCRtpXesLdBCqig","Duo Patisserie & Cafe","ON","Coffee & Tea,Bakeries,Food,Desserts","1","1","4","2","36","249","0","1"
"2_8_ipfxCRtpXesLdBCqig","Duo Patisserie & Cafe","ON","Coffee & Tea,Bakeries,Food,Desserts","1","1","4","2","36","249","0","1"
"2_8_ipfxCRtpXesLdBCqig","Duo Patisserie & Cafe","ON","Coffee & Tea,Bakeries,Food,Desserts","1","1","5","2","36","249","0","1"
"2_8_ipfxCRtpXesLdBCqig","Duo Patisserie & Cafe","ON","Coffee & Tea,Bakeries,Food,Desserts","1","1","5","2","36","249","0","1"
"T5nTtSCSRoEYMsZPhF61wg","Waffles Cafe","NV","Breakfast & Brunch,Coffee & Tea,Restaurants,Food","1","1","5","1","55","270","17","1"
"T5nTtSCSRoEYMsZPhF61wg","Waffles Cafe","NV","Breakfast & Brunch,Coffee & Tea,Restaurants,Food","1","1","5","1","55","270","17","1"
"T5nTtSCSRoEYMsZPhF61wg","Waffles Cafe","NV","Breakfast & Brunch,Coffee & Tea,Restaurants,Food","1","1","5","1","55","270","17","1"
"T5nTtSCSRoEYMsZPhF61wg","Waffles Cafe","NV","Breakfast & Brunch,Coffee & Tea,Restaurants,Food","1","1","5","1","55","270","17","1"
"O5xFslbI7ZH1sq6zOEJIdg","Hinckley Coffee & Donuts","OH","Coffee & Tea,Bakeries,Donuts,Food","1","1","5","2","35","6","0","1"
"O5xFslbI7ZH1sq6zOEJIdg","Hinckley Coffee & Donuts","OH","Coffee & Tea,Bakeries,Donuts,Food","1","1","5","2","35","6","0","1"
"qMJyOW1FdPOf8sli8DIq_A","Délice Bistro","AZ","Modern European,Coffee & Tea,Breakfast & Brunch,Bakeries,Cafes,Food,Desserts,Restaurants","0","1","2","0","81","174","14","1"
"OVb3wbv59wTcd0pQrXBZXw","Rayner's Chocolate & Coffee Shop","AZ","Restaurants,Cafes,Coffee & Tea,Chocolatiers & Shops,Food,Specialty Food","1","1","4","0","46","203","3","1"
"OVb3wbv59wTcd0pQrXBZXw","Rayner's Chocolate & Coffee Shop","AZ","Restaurants,Cafes,Coffee & Tea,Chocolatiers & Shops,Food,Specialty Food","1","1","5","0","46","203","3","1"
"OVb3wbv59wTcd0pQrXBZXw","Rayner's Chocolate & Coffee Shop","AZ","Restaurants,Cafes,Coffee & Tea,Chocolatiers & Shops,Food,Specialty Food","1","1","5","0","46","203","3","1"
"1yBhet37qpki8W0EvOi70g","Soma Chocolatemaker","ON","Specialty Food,Food,Coffee & Tea,Chocolatiers & Shops","0","1","4","2","50","149","0","1"
"yZ_wpRr4Svw8YRZ9voCgIw","The Vandal","PA","American (New),Sandwiches,Burgers,Soul Food,Cafes,Coffee & Tea,Breakfast & Brunch,Food,Modern European,Restaurants","1","1","5","2","35","148","6","1"
"yZ_wpRr4Svw8YRZ9voCgIw","The Vandal","PA","American (New),Sandwiches,Burgers,Soul Food,Cafes,Coffee & Tea,Breakfast & Brunch,Food,Modern European,Restaurants","1","1","5","2","35","148","6","1"
"-KqJjXDhqq6Ah5cMiF-sug","Sharetea","ON","Bubble Tea,Food,Coffee & Tea,Juice Bars & Smoothies","1","N/A","4","2","56","46","2","0"
"NF6di6YcQxN0rDAleE7SyQ","Ten Ren's Tea","ON","Taiwanese,Chinese,Restaurants,Tea Rooms,Coffee & Tea,Food","1","1","3","2","72","141","2","1"
"NF6di6YcQxN0rDAleE7SyQ","Ten Ren's Tea","ON","Taiwanese,Chinese,Restaurants,Tea Rooms,Coffee & Tea,Food","1","1","4","2","72","141","2","1"
"84ezTxVxTCmI65_UeYRJcA","G For Gelato and Pizza Bar","ON","Coffee & Tea,Gelato,Restaurants,Ice Cream & Frozen Yogurt,Breakfast & Brunch,Italian,Local Flavor,Food,Pizza","0","1","4","2","67","167","14","1"
"84ezTxVxTCmI65_UeYRJcA","G For Gelato and Pizza Bar","ON","Coffee & Tea,Gelato,Restaurants,Ice Cream & Frozen Yogurt,Breakfast & Brunch,Italian,Local Flavor,Food,Pizza","0","1","5","2","67","167","14","1"
"I3Saf0s5ybDKprYPPNWqtA","Urbana Wellness Spa","NC","Hair Removal,Coffee & Tea,Massage,Food,Beauty & Spas,Skin Care,Waxing,Tea Rooms","1","1","3","2","56","68","0","1"
"I3Saf0s5ybDKprYPPNWqtA","Urbana Wellness Spa","NC","Hair Removal,Coffee & Tea,Massage,Food,Beauty & Spas,Skin Care,Waxing,Tea Rooms","1","1","5","2","56","68","0","1"
"0_jLX4hS_GKJ-4R7JYmxxg","Milk","EDH","Sandwiches,Food,Vegetarian,British,Coffee & Tea,Restaurants,Cafes,Breakfast & Brunch","1","1","5","2","45","41","1","1"
"0_jLX4hS_GKJ-4R7JYmxxg","Milk","EDH","Sandwiches,Food,Vegetarian,British,Coffee & Tea,Restaurants,Cafes,Breakfast & Brunch","1","1","5","2","45","41","1","1"
"6pG7n8Rx_7ZXeQQk690Nsw","Fair Trade Coffee House","WI","Coffee & Tea,Cafes,Restaurants,Food,Sandwiches","1","1","3","2","70","73","3","1"
"pOWwU7R69EZ-qxBA_biyOA","Presse Café","ON","Food,Coffee & Tea","1","1","3","2","0","5","0","1"
"5tQSJ2sed3Ln-1S1rbIFoQ","Moon Bean Coffee Company","ON","Coffee & Tea,Food,Coffee Roasteries","1","N/A","4","2","70","199","0","0"
"5tQSJ2sed3Ln-1S1rbIFoQ","Moon Bean Coffee Company","ON","Coffee & Tea,Food,Coffee Roasteries","1","N/A","5","2","70","199","0","0"
"WVZOqMZR5uWQMPp3xMcHHA","McFarland House Cafe","WI","Internet Cafes,Coffee & Tea,Food,Breakfast & Brunch,Ice Cream & Frozen Yogurt,Restaurants","1","1","5","2","61","12","0","1"
"nlai1j5FXlDZSw1RwvLIvw","Manic Coffee","ON","Coffee & Tea,Food","1","1","5","2","60","135","1","1"
"nlai1j5FXlDZSw1RwvLIvw","Manic Coffee","ON","Coffee & Tea,Food","1","1","5","2","60","135","1","1"
"c8wf_OODd5X_uAZ7Q34jcw","Café Maille","BW","Restaurants,Coffee & Tea,Food,Cafes","1","null","1","2","0","12","0","0"
"7TUhNJn9fiaQ6x1YdMt0fQ","Starbucks","NC","Coffee & Tea,Food","1","1","1","2","0","54","0","1"
"7TUhNJn9fiaQ6x1YdMt0fQ","Starbucks","NC","Coffee & Tea,Food","1","1","1","2","0","54","0","1"
"7TUhNJn9fiaQ6x1YdMt0fQ","Starbucks","NC","Coffee & Tea,Food","1","1","3","2","0","54","0","1"
"7TUhNJn9fiaQ6x1YdMt0fQ","Starbucks","NC","Coffee & Tea,Food","1","1","5","2","0","54","0","1"
"PdCxX1QJnlBkvnG9fFjWYg","Sunflour Baking Company","NC","Food,Sandwiches,Coffee & Tea,Restaurants,Bakeries,Cafes","1","1","4","2","60","231","11","1"
"PdCxX1QJnlBkvnG9fFjWYg","Sunflour Baking Company","NC","Food,Sandwiches,Coffee & Tea,Restaurants,Bakeries,Cafes","1","1","5","2","60","231","11","1"
"V4xAE0yfnAYUGdpf8a0BkQ","Tim Hortons","ON","Donuts,Food,Coffee & Tea","1","1","1","2","0","3","0","1"
"tVrKuh92l1eGK2fXsGYzaA","Colectivo Coffee","WI","Food,Coffee & Tea,Coffee Roasteries","1","1","3","2","75","60","0","1"
"tVrKuh92l1eGK2fXsGYzaA","Colectivo Coffee","WI","Food,Coffee & Tea,Coffee Roasteries","1","1","3","2","75","60","0","1"
"mSqR24h_nKXyMhwtWSih3Q","BAMBU","AZ","Food,Coffee & Tea,Juice Bars & Smoothies,Bubble Tea","1","1","5","0","51","86","0","1"
"mSqR24h_nKXyMhwtWSih3Q","BAMBU","AZ","Food,Coffee & Tea,Juice Bars & Smoothies,Bubble Tea","1","1","5","0","51","86","0","1"
"mSqR24h_nKXyMhwtWSih3Q","BAMBU","AZ","Food,Coffee & Tea,Juice Bars & Smoothies,Bubble Tea","1","1","5","0","51","86","0","1"
"NzLwCjZKriWw3n8RNZwRKA","MELK Bar à Café","QC","Coffee & Tea,Food","1","1","4","2","60","45","0","1"
"jAhWofys8yG3ueMoXO00wg","A.J. Rocco's","OH","Food,Pubs,Nightlife,Bars,Coffee & Tea","1","1","4","2","82","35","0","1"
"jAhWofys8yG3ueMoXO00wg","A.J. Rocco's","OH","Food,Pubs,Nightlife,Bars,Coffee & Tea","1","1","5","2","82","35","0","1"
"oqqBEXH84dJgBlfEMA69XA","Cafe Mucho Gusto","QC","Internet Cafes,Cafes,Coffee & Tea,Food,Restaurants","1","1","5","2","0","7","2","1"
"pnStRO16rw-jXa9S2FQoEg","Alexandria Cafe","ON","Coffee & Tea,Donairs,Food,Restaurants,Nightlife,Middle Eastern,Bars,Hookah Bars","1","1","3","2","90","16","0","1"
"S1t1kRnoiB1j3u7bRkjlvA","Phoenix Coffee","OH","Coffee & Tea,Food","1","1","5","2","75","62","0","1"
"Dz5NDfPpXcID1qJbEfre4g","Press Coffee","AZ","Cafes,Food,Coffee & Tea,Coffee Roasteries,Restaurants","1","1","4","0","65","50","0","1"
"Dz5NDfPpXcID1qJbEfre4g","Press Coffee","AZ","Cafes,Food,Coffee & Tea,Coffee Roasteries,Restaurants","1","1","5","0","65","50","0","1"
"FfHpj1QcW510pA3CS354xw","The Coffee Shop","NV","Comfort Food,Breakfast & Brunch,Beauty & Spas,Food,Coffee & Tea,American (Traditional),Restaurants,Hotels,Arts & Entertainment,Day Spas,Event Planning & Services,Casinos,Hotels & Travel","1","1","1","1","0","225","3","1"
"FfHpj1QcW510pA3CS354xw","The Coffee Shop","NV","Comfort Food,Breakfast & Brunch,Beauty & Spas,Food,Coffee & Tea,American (Traditional),Restaurants,Hotels,Arts & Entertainment,Day Spas,Event Planning & Services,Casinos,Hotels & Travel","1","1","1","1","0","225","3","1"
"FfHpj1QcW510pA3CS354xw","The Coffee Shop","NV","Comfort Food,Breakfast & Brunch,Beauty & Spas,Food,Coffee & Tea,American (Traditional),Restaurants,Hotels,Arts & Entertainment,Day Spas,Event Planning & Services,Casinos,Hotels & Travel","1","1","2","1","0","225","3","1"
"FfHpj1QcW510pA3CS354xw","The Coffee Shop","NV","Comfort Food,Breakfast & Brunch,Beauty & Spas,Food,Coffee & Tea,American (Traditional),Restaurants,Hotels,Arts & Entertainment,Day Spas,Event Planning & Services,Casinos,Hotels & Travel","1","1","2","1","0","225","3","1"
"Ado3kudEn4uApQBWFCqWLA","Chew Chew's Diner","ON","Diners,Food,Restaurants,Breakfast & Brunch,Coffee & Tea","1","1","4","2","60","68","0","1"
"Ado3kudEn4uApQBWFCqWLA","Chew Chew's Diner","ON","Diners,Food,Restaurants,Breakfast & Brunch,Coffee & Tea","1","1","5","2","60","68","0","1"
"VVANVZo9Q8WIR9O7YBnSNA","The Square","KHL","Sandwiches,Coffee & Tea,Restaurants,Soup,Food","1","1","5","2","45","7","1","1"
"6P_ZHZ_moGR6siCHhRQ3uQ","Artisan Roast","EDH","Food,Coffee & Tea","1","null","5","2","52","134","0","0"
"R1r4MkEQDJSdZUxEDcIG5w","Life Is Sweet Bakery Cafe","PA","Food,Bakeries,Coffee & Tea,Cupcakes","0","1","5","2","45","16","0","1"
"RnSh7nukslMyuzcJgpJ1Ww","Starbucks","ON","Coffee & Tea,Cafes,Restaurants,Food","1","1","4","2","85","12","0","1"
"HSgXxoc3Hx0z0rGM40svZg","Kulturcafe Cassiopeia","BW","Coffee & Tea,Food,Event Planning & Services,Party & Event Planning,Restaurants,Active Life,Dance Clubs,Organic Stores,Fitness & Instruction,Nightlife,Dance Studios,Cafes,Caterers","0","null","5","2","0","18","0","0"
"0bjFYstj8USMzEV4ZQldjA","Redhawk Coffee","PA","Desserts,Restaurants,Food,Breakfast & Brunch,Food Trucks,Coffee & Tea","1","1","3","2","60","91","7","1"
"qQCsLGMncJp1xWUGnOKCQA","32 Shea","AZ","Beer,Wine & Spirits,Bars,Food,Wine Bars,Cafes,Coffee & Tea,Nightlife,Breakfast & Brunch,Restaurants","1","1","5","0","80","597","25","1"
"qQCsLGMncJp1xWUGnOKCQA","32 Shea","AZ","Beer,Wine & Spirits,Bars,Food,Wine Bars,Cafes,Coffee & Tea,Nightlife,Breakfast & Brunch,Restaurants","1","1","5","0","80","597","25","1"
"qQCsLGMncJp1xWUGnOKCQA","32 Shea","AZ","Beer,Wine & Spirits,Bars,Food,Wine Bars,Cafes,Coffee & Tea,Nightlife,Breakfast & Brunch,Restaurants","1","1","5","0","80","597","25","1"
"qQCsLGMncJp1xWUGnOKCQA","32 Shea","AZ","Beer,Wine & Spirits,Bars,Food,Wine Bars,Cafes,Coffee & Tea,Nightlife,Breakfast & Brunch,Restaurants","1","1","5","0","80","597","25","1"
"vZABkPfLYIIV3qW0vAQl-w","Meadowlark Cafe 39","EDH","Cafes,Health & Medical,Food,Sports Medicine,Restaurants,Doctors,Acupuncture,Vegan,Coffee & Tea,Juice Bars & Smoothies","1","1","4","2","40","5","0","1"
"_3zIKo5WoLAd3dl7RcioTQ","Starbucks","AZ","Coffee & Tea,Food","0","1","2","0","76","22","0","1"
"w_A1qFeQ3vOl7o4kdBxPXA","Muse Asian Cuisine & Lounge","NV","Food,Nightlife,Karaoke,Coffee & Tea,Bars,Cafes,Lounges,Restaurants,Asian Fusion","0","1","2","1","51","16","5","1"
"qJf61TR4Jq9Xph5RiXPS9A","Cupz N' Crepes","AZ","Restaurants,Coffee & Tea,Food,Creperies","1","1","5","0","40","270","6","1"
"GqlcI-T5pK17Q932PimsAg","Starbucks","AZ","Coffee & Tea,Food","1","1","3","0","80","101","0","1"
"GqlcI-T5pK17Q932PimsAg","Starbucks","AZ","Coffee & Tea,Food","1","1","4","0","80","101","0","1"
"Vbal-AZnu2w6NttIKfdjDg","Desert Wind Coffee Roasters","NV","Coffee Roasteries,Food,Internet Cafes,Coffee & Tea","1","1","5","1","50","327","0","1"
"Vbal-AZnu2w6NttIKfdjDg","Desert Wind Coffee Roasters","NV","Coffee Roasteries,Food,Internet Cafes,Coffee & Tea","1","1","5","1","50","327","0","1"
"Db7rYJ8iDo-oE1Ich5Vxdw","Simit & Chai","ON","Bakeries,Coffee & Tea,Food,Sandwiches,Restaurants","1","N/A","2","2","55","58","7","0"
"YNpwfdqBeP6j8aFrJp2sQw","Sweet Esc","ON","Desserts,Restaurants,Coffee & Tea,Cafes,Food","1","1","4","2","42","155","0","1"
"YNpwfdqBeP6j8aFrJp2sQw","Sweet Esc","ON","Desserts,Restaurants,Coffee & Tea,Cafes,Food","1","1","5","2","42","155","0","1"
"V1cWGBZLQLyIiyo0iUOnyg","Not Just Coffee - 7th Street","NC","Food,Coffee & Tea","1","1","3","2","66","424","0","1"
"V1cWGBZLQLyIiyo0iUOnyg","Not Just Coffee - 7th Street","NC","Food,Coffee & Tea","1","1","5","2","66","424","0","1"
"V1cWGBZLQLyIiyo0iUOnyg","Not Just Coffee - 7th Street","NC","Food,Coffee & Tea","1","1","5","2","66","424","0","1"
"FUu-XrtZYDpLiL4wuVzNaQ","The Java Grounds Coffee House","AZ","Ice Cream & Frozen Yogurt,Coffee & Tea,Food","1","1","4","0","65","76","0","1"
"ahGtKEHYxY3igWrTHh7FVQ","Top Marks Cafe","AZ","Restaurants,Cafes,Gelato,Food,Coffee & Tea,Ice Cream & Frozen Yogurt,Creperies","1","1","5","0","31","83","4","1"
"OURoudNtFXyd7RTtl5ASKg","Café Pamenar","ON","Coffee & Tea,Nightlife,Bars,Food","1","1","5","2","78","91","0","1"
"CQswkQBXILfRsusOaO5mYg","The Perfect Scoop Ice Cream and Boba","NV","Ice Cream & Frozen Yogurt,Coffee & Tea,Food,Bubble Tea","0","1","5","1","56","92","0","1"
"CQswkQBXILfRsusOaO5mYg","The Perfect Scoop Ice Cream and Boba","NV","Ice Cream & Frozen Yogurt,Coffee & Tea,Food,Bubble Tea","0","1","5","1","56","92","0","1"
"rgnvT2gHHfW_jW1ZbIa_-g","Coffee Buddha","PA","Coffee & Tea,Food","1","1","5","2","68","72","0","1"
"BUdPHseUBhZ_3wGW-GX7Mg","Dutch Bros Coffee","AZ","Food,Coffee & Tea","1","1","5","0","86","196","0","1"
"BUdPHseUBhZ_3wGW-GX7Mg","Dutch Bros Coffee","AZ","Food,Coffee & Tea","1","1","5","0","86","196","0","1"
"4M07K6U7e37w7gZZpIgu1g","Bosa Donuts","AZ","Food,Coffee & Tea,Donuts","1","1","4","0","75","86","0","1"
"2SfSzEd3B7WimeZac23zhg","Leoné Café","NV","Breakfast & Brunch,Restaurants,Cafes,Food,Italian,Coffee & Tea","1","1","2","1","72","539","45","1"
"2SfSzEd3B7WimeZac23zhg","Leoné Café","NV","Breakfast & Brunch,Restaurants,Cafes,Food,Italian,Coffee & Tea","1","1","4","1","72","539","45","1"
"2SfSzEd3B7WimeZac23zhg","Leoné Café","NV","Breakfast & Brunch,Restaurants,Cafes,Food,Italian,Coffee & Tea","1","1","4","1","72","539","45","1"
"2SfSzEd3B7WimeZac23zhg","Leoné Café","NV","Breakfast & Brunch,Restaurants,Cafes,Food,Italian,Coffee & Tea","1","1","4","1","72","539","45","1"
"2SfSzEd3B7WimeZac23zhg","Leoné Café","NV","Breakfast & Brunch,Restaurants,Cafes,Food,Italian,Coffee & Tea","1","1","5","1","72","539","45","1"
"2SfSzEd3B7WimeZac23zhg","Leoné Café","NV","Breakfast & Brunch,Restaurants,Cafes,Food,Italian,Coffee & Tea","1","1","5","1","72","539","45","1"
"2SfSzEd3B7WimeZac23zhg","Leoné Café","NV","Breakfast & Brunch,Restaurants,Cafes,Food,Italian,Coffee & Tea","1","1","5","1","72","539","45","1"
"2SfSzEd3B7WimeZac23zhg","Leoné Café","NV","Breakfast & Brunch,Restaurants,Cafes,Food,Italian,Coffee & Tea","1","1","5","1","72","539","45","1"
"cQ4R6L475z3Ogkr2-5pKxA","El Gordo Fine Foods","ON","Restaurants,Bakeries,Mexican,Coffee & Tea,Food,Latin American","1","null","4","2","86","26","2","0"
"CztDemHy1q1f2R3VV9jmvA","One Hour Cafeteria","ON","Food,Coffee & Tea,Ethnic Food,Specialty Food","1","1","3","2","52","94","0","1"
"CztDemHy1q1f2R3VV9jmvA","One Hour Cafeteria","ON","Food,Coffee & Tea,Ethnic Food,Specialty Food","1","1","4","2","52","94","0","1"
"FFVAGNz3fQ7Mdsupm5uzMw","Infused Tea Lounge","NV","Bubble Tea,Juice Bars & Smoothies,Coffee & Tea,Food,Tea Rooms","1","1","4","1","62","203","0","1"
"FFVAGNz3fQ7Mdsupm5uzMw","Infused Tea Lounge","NV","Bubble Tea,Juice Bars & Smoothies,Coffee & Tea,Food,Tea Rooms","1","1","5","1","62","203","0","1"
"cNx3qzQ55JXpjZEt4lc7Tg","Recess Italian Ice & Desserts","NV","Coffee & Tea,Food,Desserts,Ice Cream & Frozen Yogurt","1","1","3","1","45","300","0","1"
"cNx3qzQ55JXpjZEt4lc7Tg","Recess Italian Ice & Desserts","NV","Coffee & Tea,Food,Desserts,Ice Cream & Frozen Yogurt","1","1","4","1","45","300","0","1"
"cNx3qzQ55JXpjZEt4lc7Tg","Recess Italian Ice & Desserts","NV","Coffee & Tea,Food,Desserts,Ice Cream & Frozen Yogurt","1","1","4","1","45","300","0","1"
"48IAxa7b8mdl9FqHE8jlbA","Gluten Free Creations","AZ","Gluten-Free,Breakfast & Brunch,Coffee & Tea,Delis,Grocery,Restaurants,Bakeries,Food","1","1","2","0","38","40","0","1"
"utIA0LyQmwP-9DRyxUe6qQ","Snooze An AM Eatery","AZ","Breakfast & Brunch,Coffee & Tea,Food,Restaurants,Sandwiches","1","1","3","0","42","1082","30","1"
"utIA0LyQmwP-9DRyxUe6qQ","Snooze An AM Eatery","AZ","Breakfast & Brunch,Coffee & Tea,Food,Restaurants,Sandwiches","1","1","3","0","42","1082","30","1"
"utIA0LyQmwP-9DRyxUe6qQ","Snooze An AM Eatery","AZ","Breakfast & Brunch,Coffee & Tea,Food,Restaurants,Sandwiches","1","1","4","0","42","1082","30","1"
"utIA0LyQmwP-9DRyxUe6qQ","Snooze An AM Eatery","AZ","Breakfast & Brunch,Coffee & Tea,Food,Restaurants,Sandwiches","1","1","4","0","42","1082","30","1"
"utIA0LyQmwP-9DRyxUe6qQ","Snooze An AM Eatery","AZ","Breakfast & Brunch,Coffee & Tea,Food,Restaurants,Sandwiches","1","1","4","0","42","1082","30","1"
"utIA0LyQmwP-9DRyxUe6qQ","Snooze An AM Eatery","AZ","Breakfast & Brunch,Coffee & Tea,Food,Restaurants,Sandwiches","1","1","4","0","42","1082","30","1"
"utIA0LyQmwP-9DRyxUe6qQ","Snooze An AM Eatery","AZ","Breakfast & Brunch,Coffee & Tea,Food,Restaurants,Sandwiches","1","1","4","0","42","1082","30","1"
"utIA0LyQmwP-9DRyxUe6qQ","Snooze An AM Eatery","AZ","Breakfast & Brunch,Coffee & Tea,Food,Restaurants,Sandwiches","1","1","5","0","42","1082","30","1"
"utIA0LyQmwP-9DRyxUe6qQ","Snooze An AM Eatery","AZ","Breakfast & Brunch,Coffee & Tea,Food,Restaurants,Sandwiches","1","1","5","0","42","1082","30","1"
"utIA0LyQmwP-9DRyxUe6qQ","Snooze An AM Eatery","AZ","Breakfast & Brunch,Coffee & Tea,Food,Restaurants,Sandwiches","1","1","5","0","42","1082","30","1"
"utIA0LyQmwP-9DRyxUe6qQ","Snooze An AM Eatery","AZ","Breakfast & Brunch,Coffee & Tea,Food,Restaurants,Sandwiches","1","1","5","0","42","1082","30","1"
"-95mbLJsa0CxXhpaNL4LvA","The Perfect Scoop & Boba Tea","NV","Ice Cream & Frozen Yogurt,Coffee & Tea,Food,Juice Bars & Smoothies,Bubble Tea,Desserts,Food Delivery Services","1","1","5","1","0","609","0","1"
"-95mbLJsa0CxXhpaNL4LvA","The Perfect Scoop & Boba Tea","NV","Ice Cream & Frozen Yogurt,Coffee & Tea,Food,Juice Bars & Smoothies,Bubble Tea,Desserts,Food Delivery Services","1","1","5","1","0","609","0","1"
"z0cjTX7o6gJsXm2hWHaKGw","Sambalatte","NV","Food,Nightlife,Desserts,Coffee & Tea,Coffeeshops","0","1","3","1","75","396","0","1"
"z0cjTX7o6gJsXm2hWHaKGw","Sambalatte","NV","Food,Nightlife,Desserts,Coffee & Tea,Coffeeshops","0","1","4","1","75","396","0","1"
"z0cjTX7o6gJsXm2hWHaKGw","Sambalatte","NV","Food,Nightlife,Desserts,Coffee & Tea,Coffeeshops","0","1","5","1","75","396","0","1"
"z0cjTX7o6gJsXm2hWHaKGw","Sambalatte","NV","Food,Nightlife,Desserts,Coffee & Tea,Coffeeshops","0","1","5","1","75","396","0","1"
"FG8atOE15c8IoQH_hEb9zA","Geppetto Cafe","PA","Coffee & Tea,Breakfast & Brunch,Food,Creperies,Restaurants","1","1","4","2","30","102","26","1"
"ennFew0_Sy91zqm3HPmO_w","Hex Coffee","NC","Coffee & Tea,Food","1","1","5","2","50","41","0","1"
"dCRjbHW3JCQwQMl6tvjWiw","Starbucks","OH","Cafes,Food,Restaurants,Coffee & Tea","1","1","3","2","85","19","0","1"
"0QItAaP3FvwyfSE1tsD06g","Wellington Coffee","EDH","Restaurants,Cafes,Food,Coffee & Tea","0","1","4","2","0","9","0","1"
"S5RLqt9XkvZxoTMKXuF-MA","Starbucks","NV","Coffee & Tea,Food","1","1","1","1","85","174","0","1"
"fT-plcnRCSbFD62unYxH-w","Dunkin' Donuts","NV","Food,Donuts,Coffee & Tea,Bagels","1","1","4","1","65","37","0","1"
"OOR7VcqIARWprmRH9NWEMA","Tim Hortons","ON","Donuts,Coffee & Tea,Food,Delicatessen","1","1","3","2","0","5","0","1"
"Ucv951W_QWJzEzEroc4thw","Kimberly Ann's Tea Room & Cafe","AZ","Cafes,Restaurants,Food,Tea Rooms,Ice Cream & Frozen Yogurt,Coffee & Tea","1","1","1","0","26","93","3","1"
"Ucv951W_QWJzEzEroc4thw","Kimberly Ann's Tea Room & Cafe","AZ","Cafes,Restaurants,Food,Tea Rooms,Ice Cream & Frozen Yogurt,Coffee & Tea","1","1","3","0","26","93","3","1"
"Ucv951W_QWJzEzEroc4thw","Kimberly Ann's Tea Room & Cafe","AZ","Cafes,Restaurants,Food,Tea Rooms,Ice Cream & Frozen Yogurt,Coffee & Tea","1","1","5","0","26","93","3","1"
"roXz-d4ma5vtnVj1Z88AFA","Souvia Tea","AZ","Coffee & Tea,Food,Tea Rooms","1","1","5","0","35","72","0","1"
"KFlwmysUsRUOx4-_5PQ8xA","Symposium Cafe Restaurant & Lounge","ON","Bars,Desserts,Restaurants,Beer,Wine & Spirits,Nightlife,Coffee & Tea,Lounges,Food,Cafes,Breakfast & Brunch,American (Traditional)","1","1","2","2","81","91","114","1"
"adnAevmPxjh9MtS6e4aSbw","Northern Perks Doughnuts & Coffee","AZ","Donuts,Food,Coffee & Tea","0","1","3","0","32","79","0","1"
"adnAevmPxjh9MtS6e4aSbw","Northern Perks Doughnuts & Coffee","AZ","Donuts,Food,Coffee & Tea","0","1","4","0","32","79","0","1"
"vYOtdnBm-45KQiiHj8jqaw","Tea Lounge","NV","Restaurants,Food,Tea Rooms,Tapas Bars,Desserts,Coffee & Tea","1","1","1","1","30","350","26","1"
